limesurvey_export_name,question_title,subquestion_title,question_type,codebook_name_if_applicable,crosswalk_match_type
Habit[Habit1],Habit,Habit1,F,Habit1,subquestion_code
Habit[Habit2],Habit,Habit2,F,Habit2,subquestion_code
Habit[Habit3],Habit,Habit3,F,Habit3,subquestion_code
Habit[Habit4],Habit,Habit4,F,Habit4,subquestion_code
Intention1[Int1],Intention1,Int1,F,Intention1,single-subquestion-parent-code
Intention2[Int2],Intention2,Int2,F,Intention2,single-subquestion-parent-code
Intention3[Int3],Intention3,Int3,F,Intention3,single-subquestion-parent-code
Att1[Att1],Att1,Att1,F,Att1,subquestion_code
Att2[Att2],Att2,Att2,F,Att2,subquestion_code
Att3[Att3],Att3,Att3,F,Att3,subquestion_code
Att4[Att4],Att4,Att4,F,Att4,subquestion_code
Att5[Att5],Att5,Att5,F,Att5,subquestion_code
Norm1[Norm1],Norm1,Norm1,F,Norm1,subquestion_code
Norm2[Norm2],Norm2,Norm2,F,Norm2,subquestion_code
Norm3[Norm3],Norm3,Norm3,F,Norm3,subquestion_code
Norm4[Norm4],Norm4,Norm4,F,Norm4,subquestion_code
Norm5[Norm5],Norm5,Norm5,F,Norm5,subquestion_code
Norm6[Norm6],Norm6,Norm6,F,Norm6,subquestion_code
Control1[Con1],Control1,Con1,F,Control1,single-subquestion-parent-code
Control2[Con2],Control2,Con2,F,Control2,single-subquestion-parent-code
Control3[Con3],Control3,Con3,F,Control3,single-subquestion-parent-code
Control4[Con4],Control4,Con4,F,Control4,single-subquestion-parent-code
KIM[IntVer1],KIM,IntVer1,F,IntVer1,subquestion_code
KIM[IntVer2],KIM,IntVer2,F,IntVer2,subquestion_code
KIM[IntVer3],KIM,IntVer3,F,IntVer3,subquestion_code
KIM[wKomp1],KIM,wKomp1,F,wKomp1,subquestion_code
KIM[wKomp2],KIM,wKomp2,F,wKomp2,subquestion_code
KIM[wKomp3],KIM,wKomp3,F,wKomp3,subquestion_code
KIM[wWahl1],KIM,wWahl1,F,wWahl1,subquestion_code
KIM[wWahl2],KIM,wWahl2,F,wWahl2,subquestion_code
KIM[wWahl3],KIM,wWahl3,F,wWahl3,subquestion_code
KIM[DrAn1],KIM,DrAn1,F,DrAn1,subquestion_code
KIM[DrAn2],KIM,DrAn2,F,DrAn2,subquestion_code
KIM[DrAn3],KIM,DrAn3,F,DrAn3,subquestion_code
KIM[ACheck2],KIM,ACheck2,F,ACheck2,subquestion_code
Ethn[Am],Ethn,Am,P,Ethn_Am,parent_sub_prefix
Ethn[As],Ethn,As,P,Ethn_As,parent_sub_prefix
Ethn[Eu],Ethn,Eu,P,Ethn_Eu,parent_sub_prefix
Ethn[Af],Ethn,Af,P,Ethn_Af,parent_sub_prefix
Ethn[AuNe],Ethn,AuNe,P,Ethn_AuNe,parent_sub_prefix
Ethn[LaAa],Ethn,LaAa,P,Ethn_LaAa,parent_sub_prefix
Ethn[Noe],Ethn,Noe,P,Ethn_Noe,parent_sub_prefix
Ethn[In],Ethn,In,P,Ethn_In,parent_sub_prefix
ZiMo[discat1],ZiMo,discat1,F,discat1,subquestion_code
ZiMo[discat2],ZiMo,discat2,F,discat2,subquestion_code
ZiMo[discat3],ZiMo,discat3,F,discat3,subquestion_code
ZiMo[discat4],ZiMo,discat4,F,discat4,subquestion_code
ZiMo[fit1],ZiMo,fit1,F,fit1,subquestion_code
ZiMo[fit2],ZiMo,fit2,F,fit2,subquestion_code
ZiMo[fit3],ZiMo,fit3,F,fit3,subquestion_code
ZiMo[heal1],ZiMo,heal1,F,heal1,subquestion_code
ZiMo[heal2],ZiMo,heal2,F,heal2,subquestion_code
ZiMo[heal3],ZiMo,heal3,F,heal3,subquestion_code
ZiMo[comper1],ZiMo,comper1,F,comper1,subquestion_code
ZiMo[comper2],ZiMo,comper2,F,comper2,subquestion_code
ZiMo[comper3],ZiMo,comper3,F,comper3,subquestion_code
ZiMo[aes1],ZiMo,aes1,F,aes1,subquestion_code
ZiMo[aes2],ZiMo,aes2,F,aes2,subquestion_code
ZiMo[con1],ZiMo,con1,F,con1,subquestion_code
ZiMo[con2],ZiMo,con2,F,con2,subquestion_code
ZiMo[con3],ZiMo,con3,F,con3,subquestion_code
ZiMo[con4],ZiMo,con4,F,con4,subquestion_code
ZiMo[ACheck3],ZiMo,ACheck3,F,ACheck3,subquestion_code
ZiMo[con5],ZiMo,con5,F,con5,subquestion_code
ZiMo[figapp1],ZiMo,figapp1,F,figapp1,subquestion_code
ZiMo[figapp2],ZiMo,figapp2,F,figapp2,subquestion_code
ZiMo[figapp3],ZiMo,figapp3,F,figapp3,subquestion_code
ZiMo[discat5],ZiMo,discat5,F,discat5,subquestion_code
ZiMo[enjoy1],ZiMo,enjoy1,F,enjoy1,subquestion_code
ZiMo[enjoy2],ZiMo,enjoy2,F,enjoy2,subquestion_code
ZiMo[enjoy3],ZiMo,enjoy3,F,enjoy3,subquestion_code
ZiMo[risk1],ZiMo,risk1,F,risk1,subquestion_code
ZiMo[risk2],ZiMo,risk2,F,risk2,subquestion_code
ZiMo[risk3],ZiMo,risk3,F,risk3,subquestion_code
TAM[WA1],TAM,WA1,F,WA1,subquestion_code
TAM[WA2],TAM,WA2,F,WA2,subquestion_code
TAM[WA3],TAM,WA3,F,WA3,subquestion_code
TAM[WN1],TAM,WN1,F,WN1,subquestion_code
TAM[WN2],TAM,WN2,F,WN2,subquestion_code
TAM[WN3],TAM,WN3,F,WN3,subquestion_code
TAM[WN4],TAM,WN4,F,WN4,subquestion_code
TAM[WB1],TAM,WB1,F,WB1,subquestion_code
TAM[WB2],TAM,WB2,F,WB2,subquestion_code
TAM[WB3],TAM,WB3,F,WB3,subquestion_code
TAM[WB4],TAM,WB4,F,WB4,subquestion_code
TAM[WF1],TAM,WF1,F,WF1,subquestion_code
TAM[WF2],TAM,WF2,F,WF2,subquestion_code
TAM[WF3],TAM,WF3,F,WF3,subquestion_code
TAM[WF4],TAM,WF4,F,WF4,subquestion_code
TAM[WV1],TAM,WV1,F,WV1,subquestion_code
TAM[WV2],TAM,WV2,F,WV2,subquestion_code
TAM[WV3],TAM,WV3,F,WV3,subquestion_code
TAM[WV4],TAM,WV4,F,WV4,subquestion_code
TAM[NI1],TAM,NI1,F,NI1,subquestion_code
TAM[NI2],TAM,NI2,F,NI2,subquestion_code
TAM[NI3],TAM,NI3,F,NI3,subquestion_code
TAM[NI4],TAM,NI4,F,NI4,subquestion_code
MotivComp[MotivComp4],MotivComp,MotivComp4,F,MotivComp4,subquestion_code
MotivComp[MotivComp3],MotivComp,MotivComp3,F,MotivComp3,subquestion_code
MotivComp[MotivComp2],MotivComp,MotivComp2,F,MotivComp2,subquestion_code
MotivComp[MotivComp1],MotivComp,MotivComp1,F,MotivComp1,subquestion_code
VolSelf[VolSelf3],VolSelf,VolSelf3,F,VolSelf3,subquestion_code
VolSelf[VolSelf2],VolSelf,VolSelf2,F,VolSelf2,subquestion_code
VolSelf[VolSelf1],VolSelf,VolSelf1,F,VolSelf1,subquestion_code
ActionPlan[ActionPlan3],ActionPlan,ActionPlan3,F,ActionPlan3,subquestion_code
ActionPlan[ActionPlan1],ActionPlan,ActionPlan1,F,ActionPlan1,subquestion_code
ActionPlan[ActionPlan2],ActionPlan,ActionPlan2,F,ActionPlan2,subquestion_code
ActionPlan[ActionPlan4],ActionPlan,ActionPlan4,F,ActionPlan4,subquestion_code
AlltagAbl[AufWa],AlltagAbl,AufWa,Q,AufWa,subquestion_code
AlltagAbl[StaProf],AlltagAbl,StaProf,Q,StaProf,subquestion_code
AlltagAbl[PausDau],AlltagAbl,PausDau,Q,PausDau,subquestion_code
AlltagAbl[EndProf],AlltagAbl,EndProf,Q,EndProf,subquestion_code
AlltagAbl[FreiDau],AlltagAbl,FreiDau,Q,FreiDau,subquestion_code
AlltagAbl[BettZeit],AlltagAbl,BettZeit,Q,BettZeit,subquestion_code
ACheck1[ACheck1],ACheck1,ACheck1,F,ACheck1,subquestion_code
EntfernPOI[BStel],EntfernPOI,BStel,Q,BStel,subquestion_code
EntfernPOI[InBew],EntfernPOI,InBew,Q,InBew,subquestion_code
EntfernPOI[OutBew],EntfernPOI,OutBew,Q,OutBew,subquestion_code
UmgebTyp[Ver],UmgebTyp,Ver,F,Ver,subquestion_code
UmgebTyp[Nat],UmgebTyp,Nat,F,Nat,subquestion_code
UmgebTyp[Mov],UmgebTyp,Mov,F,Mov,subquestion_code
