"id","timePoint","studyGroup","treatment_now","carryover_ig","z_habit","z_intention","z_attitude","z_injnorm","z_descnorm","z_pbc","z_intrinsic_mot","z_planning","z_selfcontrol","trt","carry","habit_latent","intention_latent","attitude_latent","injnorm_latent","descnorm_latent","pbc_latent","intrinsic_mot_latent","perceived_comp_latent","perceived_choice_latent","extrinsic_mot_latent","planning_latent","selfcontrol_latent","zimo_discat_latent","zimo_enjoy_latent","zimo_risk_latent","age","gender","prior_app","income","age_c","female","male","income_low","income_med","income_high","age_25_50","rand_pa","pa_driver_small","weeklyMET_minutes","treat_phase_pa","vpa_share","mpa_share","lpa_share","share_sum","lpa_met_week","mpa_met_week","vpa_met_week","lpa_min_week","mpa_min_week","vpa_min_week","pa_light_days","pa_mod_days","pa_vig_days","pa_light_minutes","pa_mod_minutes","pa_vig_minutes","weeklyMET_minutes_check","rand_steps","steps_day","habit_1","habit_2","habit_3","habit_4","intention_1","intention_2","intention_3","attitude_1","attitude_2","attitude_3","attitude_4","attitude_5","norm_inj_1","norm_inj_2","norm_inj_3","norm_desc_1","norm_desc_2","norm_desc_3","pbc_1","pbc_2","pbc_3","pbc_4","intrinsic_mot_1","intrinsic_mot_2","intrinsic_mot_3","perceived_comp_1","perceived_comp_2","perceived_comp_3","perceived_choice_1","perceived_choice_2","perceived_choice_3","extrinsic_mot_1","extrinsic_mot_2","extrinsic_mot_3","action_planning_1","action_planning_2","action_planning_3","action_planning_4","self_control_1","self_control_2","self_control_3","motivational_comp_1","motivational_comp_2","motivational_comp_3","motivational_comp_4","bmzi_fitness","bmzi_health","bmzi_body","bmzi_social","bmzi_competition","bmzi_distraction","bmzi_aesthetics","zimo_discat5","zimo_enjoy1","zimo_enjoy2","zimo_enjoy3","zimo_risk1","zimo_risk2","zimo_risk3","app_use_prob","app_use_yesno","app_use_days","tam_usefulness_1","tam_usefulness_2","tam_usefulness_3","tam_ease_1","tam_ease_2","tam_ease_3","tam_enjoyment_1","tam_enjoyment_2","tam_enjoyment_3","tam_trust_1","tam_trust_2","tam_trust_3","tam_future_use_1","tam_future_use_2","tam_future_use_3"
1,"T1","CG",FALSE,FALSE,0.0696647424034371,-0.0197479699069533,-0.0867362142839259,-0.477110655320985,-0.708863295772049,1.51197544633497,-0.744633840146867,-2.63717180244943,0.388576353276682,0,0,3.19137448962764,4.15655989214625,5.46793356266269,3.48812111182553,4.0966360290015,6.26321877126106,2.6957977346669,1.97111693104941,3.09945551542575,1.15440108424303,-0.00595768497736804,3.61926747710855,4.34454939772378,3.79514894371943,2.10963854173843,38,0,0,2,-2.27,0,1,0,1,0,1,113.440767667302,6.21181385022481,482,0,0,0.205290925707668,0.794709074292332,1,383.049773808904,98.950226191096,0,127.683257936301,19.7900452382192,0,4,1,0,32,20,NA,484,-3840.16541583247,NA,3,1,2,3,3,NA,3,6,5,6,5,5,3,4,4,5,4,4,6,6,7,5,3,3,2,2,2,2,3,3,3,1,1,2,1,1,1,1,5,4,4,3,3,4,3,5,4,3,2,4,4,3,4,3,4,4,3,3,2,0.51249739648421,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"T1","CG",FALSE,FALSE,1.42893462174531,-0.624268614455039,0.920710698612914,1.17480409656124,0.912760642293327,0.127477481409232,-0.0949274607738708,-0.167713098772333,-1.18414699379865,0,0,4.16693166317078,4.57440323128985,6.34223370530233,5.12356228285815,5.61224805740859,5.29367534938,3.30593778234565,3.4067614999384,3.13535352022815,2.05932454626396,2.01587604462626,2.73581094271822,3.29466468347378,3.98057699041649,3.14225866525708,28,1,0,2,-12.27,1,0,0,1,0,1,-517.247437655146,23.2193179693331,33,0,0,0.234864306300879,0.765135693699121,1,25.249477892071,7.75052210792899,0,8.41649263069034,1.5501044215858,0,0,0,0,NA,NA,NA,0,-5032.87751214467,NA,4,4,4,5,5,5,NA,7,6,7,6,7,5,4,4,6,6,5,NA,4,5,5,2,3,4,3,4,4,NA,3,4,1,3,2,3,2,2,2,3,3,3,4,3,3,3,4,4,2,3,1,3,5,3,4,5,4,4,2,2,0.645656306225795,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"T1","CG",FALSE,FALSE,0.693252260249664,0.055799765039926,-0.158093522091864,0.133429990243886,-0.632509246143579,1.15279550851297,-1.54286374220288,-0.449169775575122,0.333372737386153,0,0,2.96606899107458,4.27380048975448,5.4290478514366,3.0769664660544,2.94921345833246,5.64717819469092,2.20024117517362,1.86938679054058,2.14668327828128,1.80195111834499,1.71521831683565,3.91037610189617,2.66763953090424,3.41664949398429,3.51822152591054,55,0,0,3,14.73,0,1,0,0,1,0,28.5898492106587,-7.02524758430159,665,0,0.0039297640719451,0.224746231790632,0.771324004137423,1,512.930462751386,149.45624414077,2.61329310784349,170.976820917129,29.8912488281541,0.290365900871499,5,1,0,34,30,NA,660,-3865.79523827453,NA,3,4,2,NA,5,4,5,5,7,6,5,4,3,3,5,2,4,3,5,6,6,6,2,2,1,2,1,2,2,2,3,1,NA,1,2,1,2,2,4,4,3,2,2,3,2,5,4,4,3,3,3,4,2,5,3,3,4,4,4,0.331812227831834,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"T1","CG",FALSE,FALSE,0.0610849337647166,1.13286266857462,0.111431457017074,0.124227743637303,-0.913007008911168,0.0822680459697248,0.119282734526903,1.51075079010268,0.105997060884061,0,0,2.01844238639951,6.19066200044278,4.55945796053174,3.82503310428282,3.68831791269761,5.20441718796145,3.30073549226693,3.87688907586745,3.14273280866176,1.36907591734673,3.00076857048798,3.36734093960679,1.87385690840247,3.39421822849114,1.74295112557636,54,0,0,1,13.73,0,1,1,0,0,0,150.160093275191,9.81686729982777,372,0,0,0.228671853225678,0.771328146774322,1,286.934070600048,85.0659293999523,0,95.6446902000159,17.0131858799905,0,3,1,0,32,17,NA,373,-994.211502611372,NA,2,1,2,1,6,NA,6,5,4,6,NA,4,4,5,3,NA,4,4,5,5,5,5,4,4,3,4,4,4,2,4,3,2,1,2,3,3,3,3,4,4,3,3,3,3,3,4,5,4,3,1,4,5,2,3,4,3,1,2,2,0.401312339887548,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"T1","IG",FALSE,FALSE,0.555818908475142,0.103174105780185,1.64986638934315,0.273424794939604,-0.34837350670811,0.42840683925451,0.276344349073482,0.273029866468954,1.87856362743039,0,0,2.45474366585773,3.86084079847452,6.98531035497483,4.77359174990577,3.60894560262395,4.83835051780852,3.8712662213185,2.94625552904388,3.58631753346041,NA,2.54845886862573,4.84147513589126,3.81465067808783,4.03416266488146,0.204968104223271,49,0,1,1,8.73,0,1,1,0,0,1,-22.7622289730264,-6.13010761667811,384,0,0,0.215300009828061,0.784699990171939,1,301.324796226025,82.6752037739754,0,100.441598742008,16.5350407547951,0,3,1,0,33,17,NA,382,-5.05277151277314,NA,3,2,2,2,3,4,4,7,7,6,7,7,5,5,5,6,3,4,5,4,4,5,4,4,4,3,3,3,3,3,3,3,2,1,3,2,3,2,5,5,5,3,4,4,2,5,5,4,3,3,4,3,4,3,3,5,1,1,1,0.598687660112452,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,"T1","CG",FALSE,FALSE,-0.739540401165448,0.0210227084911906,-0.402566196741888,0.314580759999934,0.736079248480173,-0.343840000552562,-0.59274533108673,0.426988604898193,-0.108342998532963,0,0,0.151021975281209,4.0546644092786,4.43828099380119,4.29874426540421,5.01829087984157,4.57933069697592,3.04171009669065,2.38812252472056,2.38168457375839,1.4604209132296,1.45756648924805,3.53717683474355,1.54826789978946,2.86225933493436,2.89050653882762,39,1,0,3,-1.27,1,0,0,0,1,1,-527.115420877395,-48.6607041749212,277,0,0,0.228181727044284,0.771818272955716,1,213.793661608733,63.2063383912668,0,71.2645538695778,12.6412676782534,0,2,1,0,36,13,NA,281,2453.56356062937,NA,1,1,1,1,4,4,3,5,5,4,5,5,4,4,4,6,7,NA,5,5,6,4,3,3,3,2,3,1,2,2,2,1,1,1,1,1,1,1,4,3,4,3,2,3,3,5,5,2,4,3,3,3,1,2,3,3,2,3,3,0.574442516811659,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,"T1","IG",FALSE,FALSE,0.167406529003302,0.436760722255569,0.132925176579019,1.09573864819644,1.23593992753089,1.0559731899606,0.714960901238687,0.583969203462675,-1.07198932767612,0,0,2.84436699967173,5.08987373826344,5.62233569101108,5.73255718880043,4.86628012445176,5.34350534132751,3.54016607715309,3.50015467481477,3.11570860025124,1.4977512502272,1.99529612631363,2.51337182090254,2.11722951211754,3.49788630018143,0.760317329668042,50,0,0,1,9.73,0,1,1,0,0,1,-467.882874414491,13.4419621591266,0,0,0,0.176424702685326,0.823575297314674,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,4306.08261105997,NA,3,3,NA,4,6,6,NA,6,5,5,5,6,7,7,5,6,5,5,4,4,6,6,4,3,3,4,4,4,3,3,3,0,1,1,2,NA,2,2,3,3,2,3,3,4,4,4,5,3,1,1,3,5,2,4,4,3,1,1,1,0.51249739648421,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"T1","IG",FALSE,FALSE,-0.0404857237123501,-0.314218706754413,1.13215256845071,-1.80612601581119,-0.87298259266362,-1.06869719904841,0.386039406729589,1.25018748066673,0.465482814380951,0,0,2.47205741355253,4.80698217356316,7.14724118173236,0.522655533746196,3.29491205603661,3.66295621677591,3.63330354246423,3.041457661905,2.46480817400874,1.51045564639896,3.06782135601013,3.62778171115765,5.11049341530269,3.27176856817261,2.69644906484547,37,0,0,3,-3.27,0,1,0,0,1,1,68.5997247046281,-8.72911857452761,675,0,0.0152133291796781,0.188384757544845,0.796401913275476,1,537.571291460947,127.159711342771,10.2689971962827,179.190430486982,25.4319422685541,1.14099968847586,5,1,0,36,25,NA,665,-1273.39592228921,NA,3,3,1,2,4,5,4,7,7,7,7,7,NA,1,NA,5,2,5,4,3,3,4,4,4,4,3,3,3,3,2,3,2,1,3,3,3,4,3,4,4,3,3,4,2,4,5,5,2,2,2,3,3,5,3,3,3,3,2,3,0.437823499114202,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,"T1","IG",FALSE,FALSE,0.169456162473851,-0.714460214699161,-0.476391235337611,-0.433199373345483,0.944123660469872,-0.126152657722852,-0.578902280878349,-0.418084415813,0.206597706668991,0,0,1.33981848986278,4.27800546172718,4.93199539594051,3.76293597398459,5.07385567690483,5.7047247873077,2.41560226932607,2.7358923139825,2.8402417227145,1.07337531854101,2.23020141903978,3.339869582097,3.49266297154911,2.55340806892008,3.61069197216314,35,1,0,2,-5.27,1,0,0,1,0,1,-232.976848195569,-26.8691647747728,429,0,0,0.164930727425963,0.835069272574037,1,358.244717934262,70.755282065738,0,119.414905978087,14.1510564131476,0,3,1,0,40,14,NA,430,-2526.68781287814,NA,1,1,1,1,4,2,4,4,5,NA,5,5,5,3,3,4,5,5,6,6,6,7,NA,2,2,3,3,2,3,4,3,2,0,NA,2,2,3,2,4,3,4,2,2,NA,NA,3,4,1,2,1,3,4,4,2,2,2,3,3,4,0.645656306225795,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,"T1","CG",FALSE,FALSE,-0.256006579268621,-0.150028687054921,0.678728620063202,-0.573771660969776,-0.721559872186153,0.4375917279788,-0.308081656275408,0.967137956444699,-0.0125762063792425,0,0,1.68543640356998,5.38139520014517,6.27684103702493,3.3734962935689,1.65117568726133,5.8881188402667,2.8865415575952,2.7796819613166,3.1714658635282,2.12766011863399,3.08344183483236,3.27902655064963,4.51445165305539,3.58197747515144,2.43812443545828,42,1,0,1,1.73,1,0,1,0,0,1,-153.290598353567,-2.63647381705948,303,0,0,0.192648868430406,0.807351131569594,1,244.627392865587,58.372607134413,0,81.542464288529,11.6745214268826,0,2,0,0,41,NA,NA,246,2223.84296561416,NA,1,2,NA,2,6,4,6,6,7,7,6,6,4,4,3,1,3,3,5,6,5,7,3,NA,2,3,3,3,3,3,2,2,1,1,3,3,3,3,4,5,4,3,4,NA,3,3,5,2,3,3,4,4,4,4,3,3,1,2,2,0.645656306225795,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
