"id","timePoint","studyGroup","treatment_now","carryover_ig","z_habit","z_intention","z_attitude","z_injnorm","z_descnorm","z_pbc","z_auto_mot","z_planning","z_selfcontrol","trt","carry","habit_latent","intention_latent","attitude_latent","injnorm_latent","descnorm_latent","pbc_latent","auto_mot_latent","planning_latent","selfcontrol_latent","zimo_discat_latent","zimo_enjoy_latent","zimo_risk_latent","age","gender","prior_app","income","age_c","female","male","income_low","income_med","income_high","age_25_50","pa_driver","pa_demo_effect","steps_day","weeklyMET_minutes","pa_prop","pa_vig_days","pa_mod_days","pa_light_days","vig_mu","mod_mu","light_mu","pa_vig_minutes","pa_mod_minutes","pa_light_minutes","habit_1","habit_2","habit_3","habit_4","intention_1","intention_2","intention_3","attitude_1","attitude_2","attitude_3","attitude_4","attitude_5","norm_inj_1","norm_inj_2","norm_inj_3","norm_desc_1","norm_desc_2","norm_desc_3","pbc_1","pbc_2","pbc_3","pbc_4","autonomous_mot_1","autonomous_mot_2","autonomous_mot_3","autonomous_mot_4","controlled_mot_1","controlled_mot_2","controlled_mot_3","controlled_mot_4","action_planning_1","action_planning_2","action_planning_3","action_planning_4","self_control_1","self_control_2","self_control_3","motivational_comp_1","motivational_comp_2","motivational_comp_3","motivational_comp_4","bmzi_fitness","bmzi_health","bmzi_body","bmzi_social","bmzi_competition","bmzi_distraction","bmzi_aesthetics","zimo_discat5","zimo_enjoy1","zimo_enjoy2","zimo_enjoy3","zimo_risk1","zimo_risk2","zimo_risk3","app_use_prob","app_use_yesno","app_use_days","tam_usefulness_1","tam_usefulness_2","tam_usefulness_3","tam_ease_1","tam_ease_2","tam_ease_3","tam_enjoyment_1","tam_enjoyment_2","tam_enjoyment_3","tam_trust_1","tam_trust_2","tam_trust_3","tam_future_use_1","tam_future_use_2","tam_future_use_3"
1,"T1","CG",FALSE,FALSE,0.0696647424034371,-0.0197479699069533,-0.0867362142839259,-0.477110655320985,-0.708863295772049,1.51197544633497,-0.744633840146867,-2.63717180244943,0.388576353276682,0,0,3.19137448962764,4.15655989214625,5.46793356266269,3.48812111182553,4.0966360290015,6.26321877126106,3.02133435065221,-0.435748833501385,3.76447406646047,2.42147317069043,2.54534868763952,2.55001794824876,54,1,1,1,12.75,1,0,1,0,0,0,0.138312032400589,13,4433.96291749404,1800,-0.0238035457992306,3,4,4,3.47368221218334,3.71436713125742,3.99795803737411,32,39,51,3,5,3,3,NA,4,4,6,6,5,6,6,3,3,3,5,4,5,6,7,6,5,2,4,3,3,NA,NA,2,2,1,1,1,1,4,4,3,3,2,3,3,4,5,1,3,2,2,5,3,3,3,2,3,2,3,0.622459331201855,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"T1","CG",FALSE,FALSE,1.42893462174531,-0.624268614455039,0.920710698612914,1.17480409656124,0.912760642293327,0.127477481409232,-0.0949274607738708,-0.167713098772333,-1.18414699379865,0,0,4.16693166317078,4.57440323128985,NA,5.12356228285815,5.61224805740859,5.29367534938,3.69644503626826,2.35008867816746,2.57230536011896,4.36751024607643,3.71957238146196,3.05280254781631,39,1,1,2,-2.25,1,0,0,1,0,1,0.407234874034167,93,6972.17272429708,1666,0.199091221573228,2,3,5,3.55562047767522,3.79694385283279,4.03684247614144,39,36,61,5,4,NA,4,5,5,5,6,6,6,6,7,6,5,5,6,7,6,NA,6,NA,NA,4,4,3,4,3,1,2,2,2,2,2,2,2,2,2,3,3,3,3,5,4,3,2,3,3,4,4,4,4,4,3,2,4,0.721115178022863,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"T1","CG",FALSE,FALSE,0.693252260249664,0.055799765039926,-0.158093522091864,0.133429990243886,-0.632509246143579,1.15279550851297,-1.54286374220288,-0.449169775575122,0.333372737386153,0,0,2.96606899107458,4.27380048975448,5.4290478514366,3.0769664660544,2.94921345833246,5.64717819469092,2.44595480095333,1.25129661987006,3.27003911998161,3.78049748306684,2.72341266406726,3.70858683366477,37,1,1,2,-4.25,1,0,0,1,0,1,-0.0929183741754116,69,4998.01828265591,2656,1.4820766250805,6,4,7,3.4537645727897,3.77189882738458,3.96358089277291,30,34,48,3,2,3,3,4,5,4,6,6,5,4,5,4,2,4,3,3,4,5,6,7,5,2,3,2,NA,NA,3,0,2,2,1,1,2,4,4,3,3,2,2,3,4,5,2,3,1,4,5,NA,2,2,2,3,3,4,0.721115178022863,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"T1","CG",FALSE,FALSE,0.0610849337647166,1.13286266857462,0.111431457017074,0.124227743637303,-0.913007008911168,0.0822680459697248,0.119282734526903,1.51075079010268,0.105997060884061,0,0,2.01844238639951,6.19066200044278,4.55945796053174,3.82503310428282,3.68831791269761,5.20441718796145,3.71266376571962,3.87077315700703,3.44253146949023,2.64981606354154,2.98430764805131,2.51622187334486,26,1,0,1,-15.25,1,0,1,0,0,1,0.21883723496793,-283,3334.15961568118,1282,0.0134717247365614,1,5,3,3.2937537828506,3.86054777459987,4.00184719631207,23,39,53,1,2,2,2,5,5,6,3,4,4,4,5,5,3,4,4,2,4,6,6,6,5,4,4,4,3,3,2,2,0,4,4,3,3,3,4,4,3,3,4,3,5,4,4,3,3,3,3,3,3,3,2,3,3,2,0.645656306225795,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"T1","IG",FALSE,FALSE,0.555818908475142,0.103174105780185,1.64986638934315,0.273424794939604,-0.34837350670811,0.42840683925451,0.276344349073482,0.273029866468954,1.87856362743039,0,0,2.45474366585773,3.86084079847452,6.98531035497483,4.77359174990577,3.60894560262395,4.83835051780852,4.29890065622585,2.14196403753791,4.93308273652617,4.5267914360365,4.65446940190273,3.64334706884721,41,0,0,1,-0.25,0,1,1,0,0,1,-0.157117570467945,217,4981.58003131401,900,-1.09815590031341,0,3,3,3.43963581839755,3.58208048554731,3.94303920991737,NA,54,42,3,2,2,NA,3,3,3,6,7,7,NA,7,5,5,4,3,3,3,5,5,NA,5,4,4,4,4,2,2,1,NA,1,2,2,2,5,5,5,3,3,3,3,4,3,4,3,2,4,3,5,4,4,4,3,4,4,0.51249739648421,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,"T1","CG",FALSE,FALSE,-0.739540401165448,0.0210227084911906,-0.402566196741888,0.314580759999934,0.736079248480173,-0.343840000552562,-0.59274533108673,0.426988604898193,-0.108342998532963,0,0,0.151021975281209,4.0546644092786,4.43828099380119,4.29874426540421,5.01829087984157,4.57933069697592,3.38243556358197,2.02752749020453,2.94144319256609,2.92467366490528,0.901275839506411,3.30240009341893,24,1,1,1,-17.25,1,0,1,0,0,0,-0.876168740004454,-347,1744.50944303819,232,-1.20422770219753,1,0,0,3.16427695369287,3.70521960161745,4.01894432997616,29,NA,NA,1,1,1,1,4,5,3,3,6,4,5,4,4,5,4,4,5,5,5,4,6,5,4,3,3,4,1,2,2,1,3,2,2,2,3,3,2,3,3,3,3,5,5,3,1,2,5,3,3,1,3,1,3,3,4,0.622459331201855,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,"T1","IG",FALSE,FALSE,0.167406529003302,0.436760722255569,0.132925176579019,1.09573864819644,1.23593992753089,1.0559731899606,0.714960901238687,0.583969203462675,-1.07198932767612,0,0,2.84436699967173,5.08987373826344,5.62233569101108,5.73255718880043,4.86628012445176,5.34350534132751,4.01166216727696,2.70995700688245,2.49680718806697,2.9879661086809,2.42935219600948,1.89748707066066,26,1,0,1,-15.25,1,0,1,0,0,1,0.253202725344997,-283,3060.75359388983,1192,0.335539474358157,1,3,4,3.37675461889624,3.77172437551877,4.01918845591355,25,48,52,2,2,2,2,5,4,4,6,6,6,6,5,5,6,6,5,4,5,NA,5,5,6,3,4,3,NA,1,3,2,1,3,3,2,3,3,2,3,3,4,4,3,5,4,2,2,2,4,3,3,2,3,2,1,2,2,0.645656306225795,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"T1","IG",FALSE,FALSE,-0.0404857237123501,-0.314218706754413,1.13215256845071,-1.80612601581119,-0.87298259266362,-1.06869719904841,0.386039406729589,1.25018748066673,0.465482814380951,0,0,2.47205741355253,4.80698217356316,7.14724118173236,0.522655533746196,3.29491205603661,3.66295621677591,4.07190748313719,2.87568212232265,3.22378618264445,3.36235809289635,4.17122314614735,2.269888013173,56,1,0,2,14.75,1,0,0,1,0,0,-0.189547017253899,-103,3201.64928483903,1392,-0.247374485127348,2,4,2,3.34018981203428,3.69926562643311,4.02264644632247,29,37,84,3,2,3,3,3,4,4,7,7,6,7,7,1,1,1,3,4,4,3,5,4,3,4,4,4,4,2,2,2,2,NA,3,3,2,3,4,3,4,4,3,4,4,5,2,2,3,NA,3,4,4,4,4,2,3,2,0.53742984534375,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,"T1","IG",FALSE,FALSE,0.169456162473851,-0.714460214699161,-0.476391235337611,-0.433199373345483,0.944123660469872,-0.126152657722852,-0.578902280878349,-0.418084415813,0.206597706668991,0,0,1.33981848986278,4.27800546172718,4.93199539594051,3.76293597398459,5.07385567690483,5.7047247873077,2.75771204123823,1.73603550718458,3.44607737051856,2.05807788187425,3.99239221007762,1.8453915257554,46,1,1,1,4.75,1,0,1,0,0,1,-0.433639853517385,137,4680.02858212889,98,-2.5154379706582,0,0,1,3.29686933060554,3.77225353003149,3.98235396350453,NA,NA,49,1,1,1,1,5,4,4,5,5,5,4,4,NA,3,5,4,5,4,5,5,6,5,2,3,2,4,2,3,2,1,1,1,1,2,3,4,4,4,3,3,3,5,4,2,1,3,3,3,3,5,4,4,2,2,1,0.721115178022863,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,"T1","CG",FALSE,FALSE,-0.256006579268621,-0.150028687054921,0.678728620063202,-0.573771660969776,-0.721559872186153,0.4375917279788,-0.308081656275408,0.967137956444699,-0.0125762063792425,0,0,1.68543640356998,5.38139520014517,6.27684103702493,3.3734962935689,1.65117568726133,5.8881188402667,3.25573339196766,2.66106829289766,3.45227711008785,4.43601086697121,4.16111036719056,2.37977229544547,53,0,1,3,11.75,0,1,0,0,1,0,0.00672260990684563,441,2564.29384422058,428,-1.25354914397418,0,1,2,3.49661835619577,3.75006623525709,3.9167493343579,NA,45,62,2,1,NA,2,5,5,6,6,5,NA,6,6,NA,2,2,2,2,3,6,4,7,7,4,3,4,3,2,2,2,2,3,3,2,3,4,4,3,3,3,3,3,5,5,3,4,3,4,2,4,5,5,5,2,3,2,0.41338242108267,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
