"id","timePoint","studyGroup","treatment_now","carryover_ig","z_habit","z_intention","z_attitude","z_injnorm","z_descnorm","z_pbc","z_intrinsic_mot","z_planning","z_selfcontrol","trt","carry","habit_latent","intention_latent","attitude_latent","injnorm_latent","descnorm_latent","pbc_latent","intrinsic_mot_latent","perceived_comp_latent","perceived_choice_latent","extrinsic_mot_latent","planning_latent","selfcontrol_latent","motivational_comp_latent","zimo_discat_latent","zimo_enjoy_latent","zimo_risk_latent","age","gender","prior_app","income","age_c","female","male","income_low","income_med","income_high","age_25_50","BStel","InBew","OutBew","rand_pa","pa_driver_small","weeklyMET_minutes","steps_day","treat_phase_pa","vpa_share","mpa_share","lpa_share","share_sum","lpa_met_week","mpa_met_week","vpa_met_week","lpa_min_week","mpa_min_week","vpa_min_week","pa_light_days","pa_mod_days","pa_vig_days","pa_light_minutes","pa_mod_minutes","pa_vig_minutes","weeklyMET_minutes_check","habit_1","habit_2","habit_3","habit_4","intention_1","intention_2","intention_3","attitude_1","attitude_2","attitude_3","attitude_4","attitude_5","norm_inj_1","norm_inj_2","norm_inj_3","norm_desc_1","norm_desc_2","norm_desc_3","pbc_1","pbc_2","pbc_3","pbc_4","intrinsic_mot_1","intrinsic_mot_2","intrinsic_mot_3","perceived_comp_1","perceived_comp_2","perceived_comp_3","perceived_choice_1","perceived_choice_2","perceived_choice_3","extrinsic_mot_1","extrinsic_mot_2","extrinsic_mot_3","action_planning_1","action_planning_2","action_planning_3","action_planning_4","self_control_1","self_control_2","self_control_3","motivational_comp_1","motivational_comp_2","motivational_comp_3","motivational_comp_4","bmzi_fitness","bmzi_health","bmzi_body","bmzi_social","bmzi_competition","bmzi_distraction","bmzi_aesthetics","zimo_discat5","zimo_enjoy1","zimo_enjoy2","zimo_enjoy3","zimo_risk1","zimo_risk2","zimo_risk3","app_use_prob","app_use_yesno","app_use_days","tam_usefulness_1","tam_usefulness_2","tam_usefulness_3","tam_ease_1","tam_ease_2","tam_ease_3","tam_enjoyment_1","tam_enjoyment_2","tam_enjoyment_3","tam_trust_1","tam_trust_2","tam_trust_3","tam_future_use_1","tam_future_use_2","tam_future_use_3"
1,"T1","CG",FALSE,FALSE,0.0696647424034371,-0.0197479699069533,-0.0867362142839259,-0.477110655320985,-0.708863295772049,1.51197544633497,-0.744633840146867,-2.63717180244943,0.388576353276682,0,0,3.19137448962764,4.15655989214625,5.46793356266269,3.48812111182553,4.0966360290015,6.26321877126106,2.6957977346669,1.97111693104941,3.09945551542575,1.15440108424303,-0.00595768497736804,3.61926747710855,4.10142555723361,3.63237913394927,3.17133456427309,2.14126884893284,41,1,0,3,1.16,1,0,0,0,1,1,9.2,4.5,2.7,793.224230267088,6.21181385022481,1395,6643,0,0.00907350447960198,0.234943034965545,0.755983460554853,1,1054.59692747402,327.745533776935,12.6575387490448,351.532309158007,65.549106755387,1.40639319433831,7,3,0,50,22,NA,1380,1,2,3,2,5,3,4,5,6,5,5,5,4,4,5,4,4,3,6,7,5,7,3,2,3,2,2,2,3,3,3,1,2,1,1,NA,1,1,4,4,4,4,5,4,5,4,4,3,5,3,3,3,3,3,3,4,3,2,3,0.574442516811659,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"T1","CG",FALSE,FALSE,1.42893462174531,-0.624268614455039,0.920710698612914,1.17480409656124,0.912760642293327,0.127477481409232,-0.0949274607738708,-0.167713098772333,-1.18414699379865,0,0,4.16693166317078,4.57440323128985,6.34223370530233,5.12356228285815,5.61224805740859,5.29367534938,NA,3.4067614999384,3.13535352022815,2.05932454626396,2.01587604462626,2.73581094271822,4.40364746352523,3.62384164990938,4.7306105109593,1.00309872699319,48,0,0,2,8.16,0,1,0,1,0,1,2.9,1.6,0.8,585.622512000856,23.2193179693331,1347,6414,0,0.00477602127939463,0.235438761636615,0.759785217083991,1,1023.43068741214,317.13601192452,6.43330066334456,341.143562470712,63.427202384904,0.714811184816062,7,3,0,49,21,NA,1344,4,4,5,5,5,NA,5,6,7,6,7,6,4,4,5,6,5,5,4,5,5,4,3,4,3,4,4,4,3,4,2,3,2,NA,2,2,2,2,3,3,4,NA,4,4,4,4,4,4,NA,2,4,3,3,5,5,5,1,1,1,0.51249739648421,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"T1","CG",FALSE,FALSE,0.693252260249664,0.055799765039926,-0.158093522091864,0.133429990243886,-0.632509246143579,1.15279550851297,-1.54286374220288,-0.449169775575122,0.333372737386153,0,0,2.96606899107458,4.27380048975448,5.4290478514366,3.0769664660544,2.94921345833246,5.64717819469092,2.20024117517362,1.86938679054058,2.14668327828128,1.80195111834499,1.71521831683565,3.91037610189617,3.32486678428786,3.35249580752492,3.99434325384216,3.7672504841778,40,1,0,2,0.159999999999997,1,0,0,1,0,1,6.3,8.3,2,86.9083126278708,-7.02524758430159,614,2924,0,0,0.224854640811682,0.775145359188318,1,475.939250541627,138.060749458373,0,158.646416847209,27.6121498916745,0,5,1,0,32,28,NA,620,4,2,2,4,4,5,4,7,6,NA,4,5,3,5,2,4,3,2,6,6,6,5,2,1,3,1,2,2,2,3,2,3,1,2,NA,2,2,2,4,3,4,3,3,3,4,4,5,3,4,2,3,3,5,4,4,5,4,4,4,0.645656306225795,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"T1","CG",FALSE,FALSE,0.0610849337647166,1.13286266857462,0.111431457017074,0.124227743637303,-0.913007008911168,0.0822680459697248,0.119282734526903,1.51075079010268,0.105997060884061,0,0,2.01844238639951,6.19066200044278,NA,3.82503310428282,3.68831791269761,5.20441718796145,3.30073549226693,3.87688907586745,3.14273280866176,1.36907591734673,3.00076857048798,3.36734093960679,4.17616455718898,2.98541698358505,2.86256432871356,3.76483119162169,39,0,0,2,-0.840000000000003,0,1,0,1,0,1,5.5,5.6,3.9,67.2467871152885,9.81686729982777,436,2076,0,0,0.236212949417531,0.763787050582469,1,333.011154053956,102.988845946044,0,111.003718017985,20.5977691892087,0,3,1,0,37,21,NA,438,1,2,1,2,5,6,6,4,6,5,4,5,5,3,3,4,4,4,5,5,5,6,4,3,4,4,4,3,4,3,3,1,2,2,3,3,3,4,NA,3,3,4,4,4,4,5,5,3,1,3,4,3,3,3,3,1,4,4,4,0.51249739648421,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"T1","IG",FALSE,FALSE,0.555818908475142,0.103174105780185,1.64986638934315,0.273424794939604,-0.34837350670811,0.42840683925451,0.276344349073482,0.273029866468954,1.87856362743039,0,0,2.45474366585773,3.86084079847452,6.98531035497483,4.77359174990577,3.60894560262395,4.83835051780852,3.8712662213185,2.94625552904388,3.58631753346041,2.05983473491832,2.54845886862573,4.84147513589126,4.55687165876523,3.48149896828168,2.08347552542652,3.54666234936965,52,1,0,1,12.16,1,0,1,0,0,0,9.2,3.2,1,-26.98829401604,-6.13010761667811,0,0,0,0,0.172502877041698,0.827497122958302,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,2,2,2,2,4,4,4,7,6,7,7,7,5,5,7,3,4,3,4,4,5,4,4,4,4,3,3,3,3,3,4,2,1,2,2,3,2,2,5,5,5,5,NA,4,5,5,5,3,4,3,3,2,3,1,3,2,3,4,4,0.53742984534375,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,"T1","CG",FALSE,FALSE,-0.739540401165448,0.0210227084911906,-0.402566196741888,0.314580759999934,0.736079248480173,-0.343840000552562,-0.59274533108673,0.426988604898193,-0.108342998532963,0,0,0.151021975281209,4.0546644092786,4.43828099380119,4.29874426540421,5.01829087984157,NA,3.04171009669065,2.38812252472056,2.38168457375839,1.4604209132296,1.45756648924805,3.53717683474355,3.44074705203019,2.44885282722239,3.89496632553,2.19948939590438,37,1,0,3,-2.84,1,0,0,0,1,1,11.6,7.8,2.1,200.056802816297,-48.6607041749212,465,2214,0,0,0.220153648927808,0.779846351072192,1,362.628553248569,102.371446751431,0,120.87618441619,20.4742893502861,0,3,1,0,40,20,NA,460,1,1,1,1,4,3,4,5,4,5,5,4,4,4,5,7,4,5,5,6,4,5,3,3,3,3,1,2,2,2,2,1,1,1,1,1,1,2,3,4,4,3,3,3,4,5,4,4,3,2,3,3,2,4,4,3,2,2,3,0.574442516811659,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,"T1","IG",FALSE,FALSE,0.167406529003302,0.436760722255569,0.132925176579019,1.09573864819644,1.23593992753089,1.0559731899606,0.714960901238687,0.583969203462675,-1.07198932767612,0,0,2.84436699967173,5.08987373826344,5.62233569101108,5.73255718880043,4.86628012445176,5.34350534132751,3.54016607715309,3.50015467481477,3.11570860025124,1.4977512502272,1.99529612631363,2.51337182090254,4.13864888876797,2.99836300535384,2.72100749537902,2.94545697572761,48,1,1,3,8.16,1,0,0,0,1,1,0.5,0.9,0.3,201.856947876876,13.4419621591266,1042,4962,0,0.000956681070383638,0.199914588760585,0.799128730169032,1,832.692136836131,208.311001488529,0.996861675339751,277.564045612044,41.6622002977058,0.110762408371083,7,2,0,40,21,NA,1050,3,2,4,4,6,4,6,5,5,5,6,7,NA,5,7,5,5,4,4,6,6,6,3,3,4,4,4,4,3,NA,2,1,1,2,NA,2,2,2,3,NA,3,4,5,5,4,5,4,2,2,2,5,NA,3,3,2,1,1,2,3,0.657010462673499,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"T1","IG",FALSE,FALSE,-0.0404857237123501,-0.314218706754413,1.13215256845071,-1.80612601581119,-0.87298259266362,-1.06869719904841,0.386039406729589,1.25018748066673,0.465482814380951,0,0,NA,4.80698217356316,7.14724118173236,0.522655533746196,3.29491205603661,3.66295621677591,3.63330354246423,3.041457661905,2.46480817400874,1.51045564639896,3.06782135601013,3.62778171115765,4.96234256064072,2.65896026322378,4.35231223009528,2.18469563507883,54,1,0,2,14.16,1,0,0,1,0,0,12.2,0.3,0.8,-27.9312659934896,-8.72911857452761,292,1390,0,0,0.166459725927562,0.833540274072438,1,243.393760029152,48.606239970848,0,81.1312533430507,9.72124799416959,0,2,0,0,41,NA,NA,246,3,1,2,2,5,4,5,7,7,7,7,7,1,1,2,2,5,3,3,3,4,4,4,4,4,3,3,3,2,3,NA,1,3,1,3,4,3,3,4,3,3,5,4,5,5,5,4,3,3,2,3,2,3,5,4,4,2,3,3,0.53742984534375,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,"T1","IG",FALSE,FALSE,0.169456162473851,-0.714460214699161,-0.476391235337611,-0.433199373345483,0.944123660469872,-0.126152657722852,-0.578902280878349,-0.418084415813,0.206597706668991,0,0,1.33981848986278,4.27800546172718,4.93199539594051,3.76293597398459,5.07385567690483,5.7047247873077,2.41560226932607,2.7358923139825,2.8402417227145,1.07337531854101,2.23020141903978,3.339869582097,NA,2.27935630310178,4.28311476600529,1.82250309796501,64,1,1,3,24.16,1,0,0,0,1,0,1.8,3.3,0.9,6.85171504781752,-26.8691647747728,1038,4943,0,0.0049491245043464,0.195449507646263,0.799601367849391,1,829.986219827668,202.876588936821,5.13719123551156,276.662073275889,40.5753177873641,0.570799026167952,7,2,0,40,20,NA,1040,1,1,1,1,2,4,4,5,4,5,5,NA,3,3,3,5,5,6,6,6,NA,NA,2,2,3,3,2,3,4,3,3,0,0,0,2,3,2,2,3,4,3,4,4,NA,3,4,3,3,1,2,3,4,2,4,4,4,2,2,1,0.549833997312478,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,"T1","CG",FALSE,FALSE,-0.256006579268621,-0.150028687054921,0.678728620063202,-0.573771660969776,-0.721559872186153,0.4375917279788,-0.308081656275408,0.967137956444699,-0.0125762063792425,0,0,1.68543640356998,5.38139520014517,6.27684103702493,3.3734962935689,1.65117568726133,5.8881188402667,2.8865415575952,2.7796819613166,3.1714658635282,2.12766011863399,3.08344183483236,3.27902655064963,4.47293676164097,3.29579515942531,3.63133394909367,2.52169797158991,25,1,0,2,-14.84,1,0,0,1,0,1,5.9,2.7,0.3,79.6117568505437,-2.63647381705948,632,3010,0,0,0.237375072874129,0.762624927125871,1,481.978953943551,150.021046056449,0,160.659651314517,30.0042092112899,0,5,1,0,32,30,NA,630,2,NA,2,2,4,6,5,7,7,6,6,7,4,3,2,3,3,1,6,5,7,NA,4,2,3,3,3,2,3,2,3,1,1,2,3,3,3,3,5,4,3,5,4,4,3,NA,3,3,4,3,4,2,4,3,3,3,2,2,1,0.645656306225795,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
